xflr5 v6.47
NACA 0012
T1_Re0.100_M0.00_N9.0
Alpha =   2.0,  Re =   100000,  Ma = 0.0000,  ACrit = 9.0 

   x        Cpi      Cpv        Qi        Qv
 1.0000    0.414     0.000     0.766     0.000
 0.9928    0.242     0.000     0.870     0.000
 0.9799    0.177     0.000     0.907     0.000
 0.9635    0.125     0.000     0.936     0.000
 0.9445    0.084     0.000     0.957     0.000
 0.9235    0.049     0.000     0.975     0.000
 0.9007    0.019     0.000     0.991     0.000
 0.8766   -0.009     0.000     1.004     0.000
 0.8512   -0.035     0.000     1.017     0.000
 0.8249   -0.058     0.000     1.029     0.000
 0.7977   -0.081     0.000     1.040     0.000
 0.7699   -0.103     0.000     1.050     0.000
 0.7415   -0.125     0.000     1.060     0.000
 0.7127   -0.146     0.000     1.070     0.000
 0.6836   -0.167     0.000     1.080     0.000
 0.6543   -0.188     0.000     1.090     0.000
 0.6249   -0.209     0.000     1.099     0.000
 0.5955   -0.230     0.000     1.109     0.000
 0.5661   -0.251     0.000     1.119     0.000
 0.5368   -0.273     0.000     1.128     0.000
 0.5077   -0.295     0.000     1.138     0.000
 0.4789   -0.318     0.000     1.148     0.000
 0.4505   -0.340     0.000     1.158     0.000
 0.4225   -0.364     0.000     1.168     0.000
 0.3949   -0.387     0.000     1.178     0.000
 0.3678   -0.411     0.000     1.188     0.000
 0.3413   -0.435     0.000     1.198     0.000
 0.3155   -0.459     0.000     1.208     0.000
 0.2904   -0.483     0.000     1.218     0.000
 0.2659   -0.507     0.000     1.228     0.000
 0.2423   -0.532     0.000     1.238     0.000
 0.2195   -0.556     0.000     1.247     0.000
 0.1976   -0.580     0.000     1.257     0.000
 0.1766   -0.604     0.000     1.266     0.000
 0.1566   -0.628     0.000     1.276     0.000
 0.1376   -0.652     0.000     1.285     0.000
 0.1197   -0.675     0.000     1.294     0.000
 0.1028   -0.699     0.000     1.303     0.000
 0.0871   -0.722     0.000     1.312     0.000
 0.0726   -0.744     0.000     1.321     0.000
 0.0592   -0.765     0.000     1.328     0.000
 0.0472   -0.783     0.000     1.335     0.000
 0.0364   -0.795     0.000     1.340     0.000
 0.0269   -0.795     0.000     1.340     0.000
 0.0188   -0.771     0.000     1.331     0.000
 0.0121   -0.701     0.000     1.304     0.000
 0.0069   -0.541     0.000     1.241     0.000
 0.0031   -0.228     0.000     1.108     0.000
 0.0008    0.266     0.000     0.857     0.000
 0.0000    0.774     0.000     0.475     0.000
 0.0008    0.997     0.000     0.055     0.000
 0.0031    0.910     0.000    -0.300     0.000
 0.0069    0.698     0.000    -0.549     0.000
 0.0121    0.489     0.000    -0.715     0.000
 0.0188    0.319     0.000    -0.825     0.000
 0.0269    0.189     0.000    -0.901     0.000
 0.0364    0.090     0.000    -0.954     0.000
 0.0472    0.015     0.000    -0.992     0.000
 0.0592   -0.043     0.000    -1.021     0.000
 0.0726   -0.088     0.000    -1.043     0.000
 0.0871   -0.123     0.000    -1.060     0.000
 0.1028   -0.150     0.000    -1.072     0.000
 0.1197   -0.171     0.000    -1.082     0.000
 0.1376   -0.187     0.000    -1.089     0.000
 0.1566   -0.198     0.000    -1.095     0.000
 0.1766   -0.206     0.000    -1.098     0.000
 0.1976   -0.211     0.000    -1.101     0.000
 0.2195   -0.213     0.000    -1.101     0.000
 0.2423   -0.213     0.000    -1.101     0.000
 0.2659   -0.211     0.000    -1.100     0.000
 0.2904   -0.207     0.000    -1.099     0.000
 0.3155   -0.201     0.000    -1.096     0.000
 0.3413   -0.195     0.000    -1.093     0.000
 0.3678   -0.187     0.000    -1.090     0.000
 0.3949   -0.178     0.000    -1.086     0.000
 0.4225   -0.169     0.000    -1.081     0.000
 0.4505   -0.159     0.000    -1.077     0.000
 0.4789   -0.149     0.000    -1.072     0.000
 0.5077   -0.138     0.000    -1.067     0.000
 0.5368   -0.127     0.000    -1.061     0.000
 0.5661   -0.115     0.000    -1.056     0.000
 0.5955   -0.104     0.000    -1.051     0.000
 0.6249   -0.092     0.000    -1.045     0.000
 0.6543   -0.080     0.000    -1.039     0.000
 0.6836   -0.067     0.000    -1.033     0.000
 0.7127   -0.055     0.000    -1.027     0.000
 0.7415   -0.041     0.000    -1.020     0.000
 0.7699   -0.027     0.000    -1.014     0.000
 0.7977   -0.013     0.000    -1.006     0.000
 0.8249    0.003     0.000    -0.998     0.000
 0.8512    0.020     0.000    -0.990     0.000
 0.8766    0.039     0.000    -0.980     0.000
 0.9007    0.060     0.000    -0.970     0.000
 0.9235    0.084     0.000    -0.957     0.000
 0.9445    0.112     0.000    -0.942     0.000
 0.9635    0.146     0.000    -0.924     0.000
 0.9799    0.192     0.000    -0.899     0.000
 0.9928    0.251     0.000    -0.865     0.000
 1.0000    0.414     0.000    -0.766     0.000


