xflr5 v6.44
NACA 0012
T1_Re0.100_M0.00_N9.0
Alpha =   0.0,  Re =   100000,  Ma = 0.0000,  ACrit = 9.0 

   x        Cpi      Cpv        Qi        Qv
 1.0000    0.409     0.000     0.769     0.000
 0.9895    0.219     0.000     0.884     0.000
 0.9698    0.150     0.000     0.922     0.000
 0.9463    0.099     0.000     0.949     0.000
 0.9207    0.062     0.000     0.969     0.000
 0.8943    0.031     0.000     0.984     0.000
 0.8675    0.005     0.000     0.997     0.000
 0.8407   -0.016     0.000     1.008     0.000
 0.8139   -0.038     0.000     1.019     0.000
 0.7872   -0.054     0.000     1.027     0.000
 0.7603   -0.073     0.000     1.036     0.000
 0.7335   -0.088     0.000     1.043     0.000
 0.7067   -0.104     0.000     1.051     0.000
 0.6799   -0.120     0.000     1.058     0.000
 0.6532   -0.135     0.000     1.065     0.000
 0.6263   -0.150     0.000     1.072     0.000
 0.5994   -0.165     0.000     1.079     0.000
 0.5725   -0.181     0.000     1.087     0.000
 0.5456   -0.195     0.000     1.093     0.000
 0.5188   -0.210     0.000     1.100     0.000
 0.4920   -0.226     0.000     1.107     0.000
 0.4653   -0.241     0.000     1.114     0.000
 0.4387   -0.257     0.000     1.121     0.000
 0.4121   -0.272     0.000     1.128     0.000
 0.3857   -0.287     0.000     1.135     0.000
 0.3592   -0.304     0.000     1.142     0.000
 0.3329   -0.318     0.000     1.148     0.000
 0.3067   -0.335     0.000     1.155     0.000
 0.2807   -0.349     0.000     1.161     0.000
 0.2549   -0.362     0.000     1.167     0.000
 0.2293   -0.377     0.000     1.173     0.000
 0.2040   -0.388     0.000     1.178     0.000
 0.1791   -0.399     0.000     1.183     0.000
 0.1547   -0.408     0.000     1.187     0.000
 0.1311   -0.413     0.000     1.189     0.000
 0.1086   -0.414     0.000     1.189     0.000
 0.0879   -0.408     0.000     1.187     0.000
 0.0697   -0.398     0.000     1.182     0.000
 0.0544   -0.374     0.000     1.172     0.000
 0.0422   -0.339     0.000     1.157     0.000
 0.0325   -0.297     0.000     1.139     0.000
 0.0248   -0.234     0.000     1.111     0.000
 0.0186   -0.155     0.000     1.075     0.000
 0.0136   -0.054     0.000     1.027     0.000
 0.0096    0.076     0.000     0.961     0.000
 0.0063    0.242     0.000     0.871     0.000
 0.0037    0.445     0.000     0.745     0.000
 0.0019    0.668     0.000     0.576     0.000
 0.0006    0.869     0.000     0.363     0.000
 0.0001    0.985     0.000     0.122     0.000
 0.0001    0.985     0.000    -0.122     0.000
 0.0006    0.869     0.000    -0.363     0.000
 0.0019    0.668     0.000    -0.576     0.000
 0.0037    0.445     0.000    -0.745     0.000
 0.0063    0.242     0.000    -0.871     0.000
 0.0096    0.076     0.000    -0.961     0.000
 0.0136   -0.054     0.000    -1.027     0.000
 0.0186   -0.155     0.000    -1.075     0.000
 0.0248   -0.234     0.000    -1.111     0.000
 0.0325   -0.297     0.000    -1.139     0.000
 0.0422   -0.339     0.000    -1.157     0.000
 0.0544   -0.374     0.000    -1.172     0.000
 0.0697   -0.398     0.000    -1.182     0.000
 0.0879   -0.408     0.000    -1.187     0.000
 0.1086   -0.414     0.000    -1.189     0.000
 0.1311   -0.413     0.000    -1.189     0.000
 0.1547   -0.408     0.000    -1.187     0.000
 0.1791   -0.399     0.000    -1.183     0.000
 0.2040   -0.388     0.000    -1.178     0.000
 0.2293   -0.377     0.000    -1.173     0.000
 0.2549   -0.362     0.000    -1.167     0.000
 0.2807   -0.349     0.000    -1.161     0.000
 0.3067   -0.335     0.000    -1.155     0.000
 0.3329   -0.318     0.000    -1.148     0.000
 0.3592   -0.304     0.000    -1.142     0.000
 0.3857   -0.287     0.000    -1.135     0.000
 0.4121   -0.272     0.000    -1.128     0.000
 0.4387   -0.257     0.000    -1.121     0.000
 0.4653   -0.241     0.000    -1.114     0.000
 0.4920   -0.226     0.000    -1.107     0.000
 0.5188   -0.210     0.000    -1.100     0.000
 0.5456   -0.195     0.000    -1.093     0.000
 0.5725   -0.181     0.000    -1.087     0.000
 0.5994   -0.165     0.000    -1.079     0.000
 0.6263   -0.150     0.000    -1.072     0.000
 0.6532   -0.135     0.000    -1.065     0.000
 0.6799   -0.120     0.000    -1.058     0.000
 0.7067   -0.104     0.000    -1.051     0.000
 0.7335   -0.088     0.000    -1.043     0.000
 0.7603   -0.073     0.000    -1.036     0.000
 0.7872   -0.054     0.000    -1.027     0.000
 0.8139   -0.038     0.000    -1.019     0.000
 0.8407   -0.016     0.000    -1.008     0.000
 0.8675    0.005     0.000    -0.997     0.000
 0.8943    0.031     0.000    -0.984     0.000
 0.9207    0.062     0.000    -0.969     0.000
 0.9463    0.099     0.000    -0.949     0.000
 0.9698    0.150     0.000    -0.922     0.000
 0.9895    0.219     0.000    -0.884     0.000
 1.0000    0.409     0.000    -0.769     0.000


