xflr5 v6.44
NACA 1112
T1_Re0.100_M0.00_N9.0
Alpha =  -1.0,  Re =   100000,  Ma = 0.0000,  ACrit = 9.0 

   x        Cpi      Cpv        Qi        Qv
 1.0000    0.409     0.000     0.769     0.000
 0.9897    0.218     0.000     0.884     0.000
 0.9701    0.146     0.000     0.924     0.000
 0.9466    0.093     0.000     0.952     0.000
 0.9212    0.054     0.000     0.973     0.000
 0.8949    0.022     0.000     0.989     0.000
 0.8684   -0.004     0.000     1.002     0.000
 0.8419   -0.027     0.000     1.014     0.000
 0.8152   -0.048     0.000     1.024     0.000
 0.7886   -0.067     0.000     1.033     0.000
 0.7619   -0.085     0.000     1.041     0.000
 0.7352   -0.101     0.000     1.049     0.000
 0.7085   -0.117     0.000     1.057     0.000
 0.6819   -0.133     0.000     1.064     0.000
 0.6552   -0.148     0.000     1.072     0.000
 0.6285   -0.163     0.000     1.078     0.000
 0.6019   -0.178     0.000     1.085     0.000
 0.5752   -0.192     0.000     1.092     0.000
 0.5486   -0.207     0.000     1.099     0.000
 0.5221   -0.222     0.000     1.105     0.000
 0.4956   -0.236     0.000     1.112     0.000
 0.4691   -0.251     0.000     1.118     0.000
 0.4427   -0.265     0.000     1.125     0.000
 0.4163   -0.279     0.000     1.131     0.000
 0.3901   -0.294     0.000     1.137     0.000
 0.3639   -0.308     0.000     1.144     0.000
 0.3378   -0.321     0.000     1.150     0.000
 0.3119   -0.335     0.000     1.155     0.000
 0.2861   -0.348     0.000     1.161     0.000
 0.2605   -0.360     0.000     1.166     0.000
 0.2351   -0.371     0.000     1.171     0.000
 0.2100   -0.382     0.000     1.175     0.000
 0.1852   -0.391     0.000     1.179     0.000
 0.1610   -0.399     0.000     1.183     0.000
 0.1375   -0.406     0.000     1.186     0.000
 0.1153   -0.416     0.000     1.190     0.000
 0.0952   -0.461     0.000     1.209     0.000
 0.0777   -0.450     0.000     1.204     0.000
 0.0622   -0.369     0.000     1.170     0.000
 0.0489   -0.263     0.000     1.124     0.000
 0.0379   -0.137     0.000     1.066     0.000
 0.0290   -0.001     0.000     1.001     0.000
 0.0218    0.142     0.000     0.926     0.000
 0.0161    0.289     0.000     0.843     0.000
 0.0116    0.442     0.000     0.747     0.000
 0.0079    0.597     0.000     0.635     0.000
 0.0051    0.748     0.000     0.502     0.000
 0.0029    0.884     0.000     0.340     0.000
 0.0013    0.979     0.000     0.144     0.000
 0.0004    0.993     0.000    -0.084     0.000
 0.0000    0.890     0.000    -0.331     0.000
 0.0002    0.652     0.000    -0.590     0.000
 0.0010    0.280     0.000    -0.848     0.000
 0.0025   -0.108     0.000    -1.053     0.000
 0.0048   -0.398     0.000    -1.182     0.000
 0.0079   -0.553     0.000    -1.246     0.000
 0.0117   -0.615     0.000    -1.271     0.000
 0.0163   -0.618     0.000    -1.272     0.000
 0.0220   -0.586     0.000    -1.259     0.000
 0.0292   -0.536     0.000    -1.239     0.000
 0.0383   -0.477     0.000    -1.215     0.000
 0.0502   -0.415     0.000    -1.190     0.000
 0.0658   -0.361     0.000    -1.167     0.000
 0.0856   -0.329     0.000    -1.153     0.000
 0.1078   -0.389     0.000    -1.178     0.000
 0.1309   -0.412     0.000    -1.188     0.000
 0.1547   -0.409     0.000    -1.187     0.000
 0.1790   -0.402     0.000    -1.184     0.000
 0.2039   -0.390     0.000    -1.179     0.000
 0.2291   -0.376     0.000    -1.173     0.000
 0.2545   -0.361     0.000    -1.167     0.000
 0.2803   -0.345     0.000    -1.160     0.000
 0.3062   -0.329     0.000    -1.153     0.000
 0.3322   -0.312     0.000    -1.146     0.000
 0.3584   -0.296     0.000    -1.138     0.000
 0.3848   -0.279     0.000    -1.131     0.000
 0.4112   -0.262     0.000    -1.123     0.000
 0.4377   -0.246     0.000    -1.116     0.000
 0.4643   -0.229     0.000    -1.109     0.000
 0.4909   -0.213     0.000    -1.102     0.000
 0.5176   -0.198     0.000    -1.094     0.000
 0.5444   -0.182     0.000    -1.087     0.000
 0.5712   -0.167     0.000    -1.080     0.000
 0.5980   -0.151     0.000    -1.073     0.000
 0.6249   -0.136     0.000    -1.066     0.000
 0.6518   -0.121     0.000    -1.059     0.000
 0.6787   -0.106     0.000    -1.052     0.000
 0.7056   -0.091     0.000    -1.044     0.000
 0.7326   -0.075     0.000    -1.037     0.000
 0.7595   -0.059     0.000    -1.029     0.000
 0.7864   -0.043     0.000    -1.021     0.000
 0.8133   -0.025     0.000    -1.012     0.000
 0.8402   -0.006     0.000    -1.003     0.000
 0.8671    0.016     0.000    -0.992     0.000
 0.8939    0.040     0.000    -0.980     0.000
 0.9204    0.069     0.000    -0.965     0.000
 0.9461    0.106     0.000    -0.946     0.000
 0.9698    0.155     0.000    -0.919     0.000
 0.9896    0.223     0.000    -0.882     0.000
 1.0000    0.409     0.000    -0.769     0.000


